Id,Original Principal Amount,Cancelled Amount,Due to the banque,Credit Status
187,7882350.65,0.0,0.0,Repaid
188,1000000.0,0.0,0.0,Repaid
189,26245450.21,2011323.58,4362142.91,Disbursed
190,21700000.0,0.0,0.0,Approved
191,90475824.54,0.0,17642785.75,Disbursed
192,18085883.58,0.0,0.0,Repaid
193,13000000.0,13000000.0,0.0,Cancelled
194,6225729.69,0.0,1214017.71,Disbursed
195,15230771.06,0.0,2970000.07,Disbursed
196,2213180.74,0.0,0.0,Repaid
197,2400000.0,0.0,0.0,Repaid
198,3333881.74,178419.06,0.0,Repaid
199,1673204.55,0.0,0.0,Repaid
200,5600024.85,0.0,0.0,Repaid
201,37935316.21,0.0,7397386.16,Disbursed
202,3000000.0,3000000.0,0.0,Cancelled
203,30734930.29,0.0,6454335.13,Disbursed
204,5000000.0,0.0,1050000.0,Disbursed
205,17532144.47,89021.01,3663055.7,Disbursed
206,19142570.31,0.0,4019940.01,Disbursed
207,9468801.65,0.0,0.0,Repaid
208,9500000.0,0.0,0.0,Repaid
209,8859298.05,0.0,0.0,Repaid
210,2338243.65,37.0,0.0,Repaid
211,4628521.28,0.0,0.0,Repaid
212,9852918.44,0.0,0.0,Repaid
213,1800000.0,1118.69,0.0,Repaid
214,6230128.06,0.0,0.0,Repaid
215,5290501.8,0.0,0.0,Repaid
216,27500000.0,0.0,5362500.0,Disbursed
217,5428549.49,0.0,1139994.99,Disbursed
218,8575953.91,0.0,0.0,Repaid
219,8000384.54,4055106.89,828508.03,Disbursed
220,604361.51,44333.43,0.0,Repaid
221,14000000.0,14000000.0,0.0,Cancelled
222,10539626.89,0.0,2213321.89,Disbursed
223,12939856.6,167691.69,2682154.89,Disbursed
224,3517527.02,0.0,738680.36,Disbursed
225,4158804.98,0.0,0.0,Repaid
226,23124877.36,0.0,4509351.04,Disbursed
227,5160982.76,0.0,0.0,Repaid
228,15000000.0,20900.93,0.0,Disbursed
229,4062227.67,595.34,0.0,Repaid
230,4350782.85,0.0,913663.95,Disbursed
231,9071687.9,0.0,0.0,Repaid
232,3658061.26,0.0,0.0,Repaid
233,4602334.04,105306.87,944375.51,Disbursed
234,14979041.15,0.0,3145598.43,Disbursed
235,2211250.5,20666.67,0.0,Repaid
236,10090815.36,0.0,2270433.41,Disbursed
237,2511997.8,342913.51,455507.93,Disbursed
238,12843192.09,0.0,2889718.29,Disbursed
239,6336570.1,0.0,0.0,Repaid
240,25526739.81,0.0,5360615.21,Disbursed
241,6343811.35,0.0,1427357.5,Disbursed
242,25000000.0,25000000.0,0.0,Cancelled
243,1603644.86,0.0,0.0,Repaid
244,6000000.0,6000000.0,0.0,Cancelled
245,6037940.18,0.0,0.0,Repaid
246,850.0,97507.31,0.0,Repaid
247,3300000.0,0.0,0.0,Repaid
248,3136663.11,73993.23,689100.63,Disbursed
249,7236935.64,0.0,0.0,Repaid
250,4003331.67,0.0,900749.37,Disbursed
251,4503104.16,0.0,1013198.56,Disbursed
252,3504507.79,0.0,0.0,Repaid
253,500.0,90.99,0.0,Repaid
254,9607617.96,110453.19,1027475.68,Disbursed
255,5417156.29,0.0,1218860.39,Disbursed
256,1691063.73,0.0,380489.13,Disbursed
257,78578918.02,0.0,17680256.57,Disbursed
258,75000000.0,2065036.38,16410366.97,Disbursed
259,9524294.43,0.0,0.0,Repaid
260,7411453.75,0.0,0.0,Repaid
261,5078271.71,0.0,1142611.36,Disbursed
262,7600091.15,33154.39,1816064.96,Disbursed
263,3304288.38,0.0,2973859.58,Disbursed
264,5057221.89,22687.38,0.0,Repaid
265,10000000.0,4757155.8,0.0,Repaid
266,25467501.91,0.0,5730187.86,Disbursed
267,35442656.9,0.0,7974598.05,Disbursed
268,2206237.88,0.0,496403.43,Disbursed
269,500.0,24836.41,106658.59,Disbursed
270,3720374.71,31378.17,0.0,Repaid
271,2006456.39,4329.95,0.0,Repaid
272,1366119.01,1929.66,0.0,Repaid
273,7036590.61,83337.04,0.0,Repaid
274,8140766.42,0.0,0.0,Repaid
275,15009307.03,0.0,3602233.39,Disbursed
276,7300000.0,1290.61,0.0,Repaid
277,15120809.62,152011.5,3367980.82,Disbursed
278,34305419.93,0.0,7718719.43,Disbursed
279,6811792.23,171743.73,0.0,Repaid
280,6288884.76,0.0,1414998.56,Disbursed
281,3152447.22,0.0,709301.12,Disbursed
282,20114706.48,107839.51,4801648.37,Disbursed
283,6512525.74,0.0,0.0,Repaid
284,79800000.0,0.0,0.0,Approved
285,8500000.0,0.0,1912500.0,Disbursed
286,5000000.0,0.0,1125000.0,Disbursed
287,40601654.18,0.0,9135372.33,Disbursed
288,4428725.1,204921.19,0.0,Repaid
289,2000000.0,0.0,480.0,Disbursed
290,10014924.31,0.0,0.0,Repaid
291,6500183.28,58664.07,0.0,Repaid
292,4153019.14,0.0,0.0,Repaid
293,4124451.34,0.0,0.0,Repaid
294,4019075.98,0.0,964578.22,Disbursed
295,22004216.94,0.0,5611075.59,Disbursed
296,6914655.34,0.0,0.0,Repaid
297,2600000.0,0.0,0.0,Repaid
298,40251658.08,0.0,9660398.0,Disbursed
299,10024977.28,0.0,2556369.1,Disbursed
300,79977328.96,0.0,20394218.74,Disbursed
301,18000000.0,0.0,4590000.0,Disbursed
302,6610429.18,0.0,0.0,Repaid
303,15037102.89,0.0,0.0,Repaid
304,30190792.31,976892.29,7449544.52,Disbursed
305,5400000.0,30613.67,1369193.76,Disbursed
306,7024699.32,813.32,1685732.64,Disbursed
307,10841707.2,9909.2,0.0,Repaid
308,6300000.0,42527.96,1595655.4,Disbursed
309,12610717.93,76968.92,3008099.45,Disbursed
310,6300000.0,0.0,0.0,Repaid
311,4200000.0,1002085.8,815468.07,Disbursed
312,19050981.3,0.0,0.0,Repaid
313,30000000.0,0.0,7650000.0,Disbursed
314,14000000.0,0.0,3570000.0,Disbursed
315,9737583.76,0.0,8861201.2,Disbursed
316,10015929.31,0.0,2554061.89,Disbursed
317,6392083.1,0.0,0.0,Repaid
318,600.0,190539.39,0.0,Repaid
319,13800000.0,0.0,4347000.0,Disbursed
320,3000000.0,0.0,0.0,Repaid
321,13200000.0,308535.55,3286490.45,Disbursed
322,4400000.0,0.0,0.0,Repaid
323,3700000.0,0.0,0.0,Repaid
324,2000000.0,0.0,480.0,Disbursed
325,11017149.14,0.0,0.0,Repaid
326,7200000.0,0.0,0.0,Repaid
327,1200000.0,36530.5,0.0,Repaid
328,6100000.0,0.0,0.0,Repaid
329,3900000.0,0.0,0.0,Repaid
330,2200000.0,0.0,561.0,Disbursed
331,10000000.0,449830.05,2435293.3,Disbursed
332,11250000.0,3750315.18,6178437.98,Disbursed
333,21200000.0,0.0,5724000.0,Disbursed
334,3502198.89,0.0,893060.95,Disbursed
335,3200000.0,0.0,0.0,Repaid
336,7700000.0,0.0,1963500.0,Disbursed
337,2800000.0,0.0,0.0,Repaid
338,1350000.0,0.0,0.0,Repaid
339,2200000.0,0.0,0.0,Repaid
340,8526297.7,273655.59,2104423.39,Disbursed
341,11000000.0,30775.75,2797146.0,Disbursed
342,9000000.0,761763.22,0.0,Repaid
343,3600000.0,0.0,0.0,Repaid
344,15300000.0,1158893.35,0.0,Repaid
345,4300000.0,0.0,0.0,Repaid
346,2300000.0,707036.02,430100.26,Disbursed
347,1650000.0,50872.17,407777.47,Disbursed
348,9200000.0,0.0,2484000.0,Disbursed
349,79062660.98,0.0,20160978.85,Disbursed
350,84692097.24,0.0,21596484.66,Disbursed
351,10000000.0,0.0,2550000.0,Disbursed
352,16000000.0,0.0,4080000.0,Disbursed
353,7000000.0,223673.01,5588320.36,Disbursed
354,17000000.0,141313.85,0.0,Repaid
355,1300000.0,20103.57,0.0,Repaid
356,40000000.0,8868.45,10197738.64,Disbursed
357,10500000.0,0.0,0.0,Repaid
358,8000000.0,458416.26,0.0,Repaid
359,52274735.6,0.0,13330057.71,Disbursed
360,4000000.0,0.0,1140000.0,Disbursed
361,10000000.0,0.0,2700000.0,Disbursed
362,25000000.0,0.0,7125000.0,Disbursed
363,13129923.28,6440.31,3543340.27,Disbursed
364,14030480.08,539431.75,3843439.13,Disbursed
365,12000000.0,0.0,3240000.0,Disbursed
366,7730434.27,28.257,2195120.82,Disbursed
367,6000000.0,0.0,1620000.0,Disbursed
368,50000000.0,0.0,13500000.0,Disbursed
369,8000000.0,0.0,0.0,Repaid
370,5100000.0,0.0,1377000.0,Disbursed
371,5000000.0,0.0,1350000.0,Disbursed
372,12700000.0,0.0,3429000.0,Disbursed
373,4500000.0,0.0,0.0,Repaid
374,15000000.0,0.0,0.0,Repaid
375,5600000.0,24190.61,0.0,Repaid
376,13000000.0,0.0,3705000.0,Disbursed
377,3038474.92,8944.57,863416.18,Disbursed
378,15600000.0,1122570.69,0.0,Repaid
379,3600000.0,0.0,972.0,Disbursed
380,25000000.0,8439396.8,4471362.7,Disbursed
381,58000000.0,0.0,15660000.0,Disbursed
382,5000000.0,0.0,1425000.0,Disbursed
383,13030768.47,0.0,11988307.03,Disbursed
384,30000000.0,0.0,8550000.0,Disbursed
385,5600000.0,0.0,1596000.0,Disbursed
386,2000000.0,2000000.0,0.0,Cancelled
387,10500000.0,0.0,0.0,Repaid
388,42000000.0,0.0,35910000.0,Disbursed
389,20000000.0,514526.1,16657878.9,Disbursed
390,5000000.0,2547552.07,0.0,Repaid
391,8000000.0,0.0,0.0,Repaid
392,7681579.68,0.0,2189250.36,Disbursed
393,14445531.28,0.0,4116976.52,Disbursed
394,19500000.0,198296.45,0.0,Repaid
395,3500000.0,0.0,997.5,Disbursed
396,1600000.0,4736.19,454647.81,Disbursed
397,10300000.0,107611.62,0.0,Repaid
398,6000000.0,0.0,1710000.0,Disbursed
399,6000000.0,41087.69,1698332.31,Disbursed
400,2500000.0,1294493.87,0.0,Repaid
401,9000000.0,1173300.64,0.0,Repaid
402,10900000.0,0.0,3106500.0,Disbursed
403,10300000.0,4351.55,2934259.72,Disbursed
404,85000000.0,0.0,24225000.0,Disbursed
